"ID","NAME","CAPACITY","ROOMTYPE","ADDRESS","MUNICIPALITY"
42,"SÃO MAMEDE CENTRO DE ARTES E ESPECTÁCULOS",672,7,"R DR JOSÉ SAMPAIO",308
43,"CAFÉ CONCERTO DO CENTRO DE ARTES E ESPECTÁCULOS",60,2,"RUA DR. JOSÉ SAMPAIO, Nº. 17 A 25",308
44,"GRANDE AUDITÓRIO DO CENTRO CULTURAL DE VILA FLOR",799,7,"AVENIDA DOM AFONSO HENRIQUES",308
45,"PEQUENO AUDITÓRIO DO CENTRO CULTURAL DE VILA FLOR",190,7,"AVENIDA DOM AFONSO HENRIQUES",308
46,"PAVILHÃO MULTIUSOS DE GUIMARÃES",7000,12,"ALAMEDA CIDADE DE LISBOA",308
47,"CINEMA GUIMARÃES SHOPPING CENTER - SALA 1",98,15,"LAMEIRAS - CREIXOMIL",308
48,"CINEMA GUIMARÃES SHOPPING CENTER - SALA 2",274,15,"LAMEIRAS - CREIXOMIL",308
49,"CINEMA GUIMARÃES SHOPPING CENTER - SALA 3",223,15,"LAMEIRAS - CREIXOMIL",308
50,"CINEMA GUIMARÃES SHOPPING CENTER - SALA 4",155,15,"LAMEIRAS - CREIXOMIL",308
51,"CINEMA GUIMARÃES SHOPPING CENTER - SALA 5",99,15,"LAMEIRAS - CREIXOMIL",308
52,"CINEMA GUIMARÃES SHOPPING CENTER - SALA 6",131,15,"LAMEIRAS - CREIXOMIL",308
53,"CINEMAS ESPAÇO GUIMARÃES - SALA 1",190,15,"ESPAÇO GUIMARÃES - RUA 25 DE ABRIL - SILVARES",308
54,"CINEMAS ESPAÇO GUIMARÃES - SALA 2",150,15,"ESPAÇO GUIMARÃES - RUA 25 DE ABRIL - SILVARES",308
55,"CINEMAS ESPAÇO GUIMARÃES - SALA 3",86,15,"ESPAÇO GUIMARÃES RUA 25 DE ABRIL  SILVARES",308
56,"CINEMAS ESPAÇO GUIMARÃES - SALA 4",100,15,"ESPAÇO GUIMARÃES RUA 25 DE ABRIL  SILVARES",308
57,"CINEMAS ESPAÇO GUIMARÃES - SALA 5",242,15,"ESPAÇO GUIMARÃES RUA 25 DE ABRIL  SILVARES",308
58,"THEATRO CLUB",120,1,"LARGO ANTÓNIO LOPES",309
59,"AUDITÓRIO MUNICIPAL DE VIEIRA DO MINHO",258,7,"PRAÇA DO PROFESSOR BRÁS DA MOTA",311
60,"AUDITÓRIO DO CENTRO CULTURAL DE JOANE",204,7,"RUA DR. AGOSTINHO FERNANDES, 113",312
61,"CASA DAS ARTES - GRANDE AUDITÓRIO",494,7,"AV DR CARLOS BACELAR - PARQUE DE SINÇÃES",312
62,"CASA DAS ARTES - PEQUENO AUDITÓRIO",124,7,"AV DR CARLOS BACELAR - PARQUE DE SINÇÃES",312
63,"CASA DAS ARTES - CAFÉ CONCERTO",50,2,"AV DR CARLOS BACELAR - PARQUE DE SINÇÃES",312
64,"CINEMA FORUM VIZELA - SALA 1",133,15,"QTA STA SUSANA - S. MIGUEL",314
65,"CINEMA FORUM VIZELA - SALA 2",103,15,"QTA STA SUSANA - S. MIGUEL",314
66,"CINEMA FORUM VIZELA - SALA 3",103,15,"QTA STA SUSANA - S. MIGUEL",314
